Genome	Serotype_code	Serotype
02-0341-M3235-15-037	TEA	Salmonella Miami
2009K-1733-M347-15-032	JEG	Salmonella Enteritidis
2010K-0038-M3235-15-041	TEA	Salmonella Miami
2011K-0646-M347-15-049	JAB	Salmonella Agona
2011K-0688-M347-15-049	JAB	Salmonella Agona
2011K-1785-M347-14-021	JIX	Salmonella Montevideo
2012K-0300-M3235-15-030	JIP	Salmonella Mississippi
2012K-1373-M947-15-031	JL6	Salmonella Poona
2012K-1528-M347-15-025	JBP	Salmonella Braenderup
2012K-1663-M3235-15-035	JIP	Salmonella Mississippi
2013K-0117-M347-14-002-Jan15	JGG	Salmonella Javiana
2013K-0251-M3235-15-019	TDR	Salmonella Mbandaka
2013K-0479-M3235-15-041	JL6	Salmonella Poona
2013K-0504-M3235-15-019	TDR	Salmonella Mbandaka
2013K-0742-M347-15-025	JBP	Salmonella Braenderup
2013K-1023-M347-13-004	JJP	Salmonella Newport
2013K-1040-M947-013-024	JF6	Salmonella Heidelberg
2013K-1151-M347-15-032	JJ6	Salmonella Muenchen
2013K-1775-M3235-15-041	JFX	Salmonella Infantis
2013K-1796-M347-13-023-Dec23	JN6	Salmonella Saintpaul
2014K-0386-M347-14-030	JFX	Salmonella Infantis
2014K-0468-M347-14-059	JJP	Salmonella Newport
2014K-0817-M3235-14-003	JPP	Salmonella Typhi
2014K-0889-M347-14-064	JM6	Salmonella Schwarzengrund
2014K-0950-M347-14-064	JEG	Salmonella Enteritidis
2014K-0967-M3235-14-010	JIX	Salmonella Montevideo
2015AM-0040-M3235-15-017	JPP	Salmonella Typhi
2015K-0176-M3235-15-017	JGP	Salmonella Kentucky
2015K-0177-M3235-15-017	JAG	Salmonella Anatum
2015K-0178-M3235-15-017	JF6	Salmonella Heidelberg
2015K-0179-M347-15-018	JGP	Salmonella Kentucky
2015K-0180-M3235-15-017	JGP	Salmonella Kentucky
2015K-0181-M3235-15-019	TDR	Salmonella Mbandaka
2015K-0183-M3235-15-017	JDX	Salmonella Dublin
2015K-0184-M3235-15-017	JGG	Salmonella Javiana
2015K-0185-M3235-15-017	JGG	Salmonella Javiana
2015K-0188-M3235-15-019	JGG	Salmonella Javiana
2015K-0189-M3235-15-019	JGG	Salmonella Javiana
2015K-0190-M347-15-025	JGG	Salmonella Javiana
2015K-0191-M347-15-018	JAX	Salmonella Berta
2015K-0192-M347-15-018	JAG	Salmonella Anatum
2015K-0193-M347-15-018	JAP	Salmonella Bareilly
2015K-0194-M347-15-025	JAG	Salmonella Anatum
2015K-0219-M3235-15-019	JDX	Salmonella Dublin
2015K-0220-M347-15-024	JAG	Salmonella Anatum
2015K-0222-M3235-15-019	JDX	Salmonella Dublin
